Feature,Cluster
algebraic_connectivity,1
assortativity,1
avg_edge_ixp_cosine_dist,1
avg_path_length,1
betweenness_mean,1
betweenness_max,1
betweenness_skewness,1
betweenness_std,1
ego_edges,1
clustering_global,1
core_mean,1
core_std,1
density,1
ego_vf_paths_frac,1
ego_valley_free_paths_checked,1
ego_nodes,1
n_edges_with_ixp_data,1
n_edges_missing_ixp_data,1
log_spanning_trees,1
ego_valley_free_paths_total,1
n_edges,1
median_edge_ixp_cosine_dist,1
lcc_fraction,1
symmetry_ratio,1
rich_club_p95,1
rich_club_p90,1
rich_club_p50,1
rich_club_p75,1
rich_club_p25,1
percolation_limit,1
natural_connectivity,1
n_nodes,1
spectral_radius,1
ego_avg_violation_depth,2
kirchhoff_index,2
ego_transit_violations,3
ego_transit_vf_rate,3
adj_eig_ratio_1_2,4
ego_valley_free_violation_rate,4
clustering_avg_local,4
std_edge_ixp_cosine_dist,4
n_edges_full,4
n_nodes_full,4
spectral_gap,4
vf_rate_delta,4
ego_valley_free_violations,5
