,adj_eig_ratio_1_2,algebraic_connectivity,assortativity,avg_edge_ixp_cosine_dist,avg_path_length,betweenness_max,betweenness_mean,betweenness_skewness,betweenness_std,clustering_avg_local,clustering_global,core_mean,core_std,density,ego_avg_violation_depth,ego_edges,ego_nodes,ego_transit_vf_rate,ego_transit_violations,ego_valley_free_paths_checked,ego_valley_free_paths_total,ego_valley_free_violation_rate,ego_valley_free_violations,ego_vf_paths_frac,kirchhoff_index,lcc_fraction,log_spanning_trees,median_edge_ixp_cosine_dist,n_edges,n_edges_full,n_edges_missing_ixp_data,n_edges_with_ixp_data,n_nodes,n_nodes_full,natural_connectivity,percolation_limit,rich_club_p25,rich_club_p50,rich_club_p75,rich_club_p90,rich_club_p95,spectral_gap,spectral_radius,std_edge_ixp_cosine_dist,symmetry_ratio,vf_rate_delta
adj_eig_ratio_1_2,1.0,0.6686195376776469,0.7777856115295617,0.8912501911887064,0.8471394711689185,0.7395957187271659,0.8436456167597136,0.8220366280835895,0.7825083582475476,0.8806581758799208,0.8838591896613417,0.6641225078305611,0.816324537659581,0.7473514080479651,0.49374595528555637,0.7304858329360554,0.7575261388945829,0.5664039027874909,0.5717990497251516,0.7709905287965593,0.7713517329191872,0.7309726092382631,0.6988347075686779,0.604080027762173,0.745736162780812,0.764547533074633,0.699247862747068,0.6609311301336214,0.7304858329360554,0.9257149858602642,0.738778714364465,0.6609311301298268,0.7575261388945829,0.8466780981690375,0.8480352792733735,0.8393738464402064,0.7436964952056646,0.6609311301334884,0.6609311301334884,0.6609311301330544,0.6609311301333095,0.9972268756732183,0.8394109088486775,0.9195666237539029,0.6609311301313996,0.7994804661469503
algebraic_connectivity,0.6686195376776469,1.0,0.9690547706376413,0.8365914580165835,0.7056300042041047,0.7682497144145439,0.7463014946090757,0.918085278101382,0.967731459452071,0.6181834773235904,0.8290473054491707,0.9984594492109438,0.692262741250081,0.9428845658429686,0.6233480730082801,0.9911545846226969,0.6766539015798486,0.6390883053763476,0.6489467486198909,0.9008050512042808,0.9010092838479897,0.28021849645089797,0.24092227980964928,0.8444863479093432,0.6579954825372786,0.6718178968942486,0.9983884534730082,0.9997428895075939,0.9911545846226969,0.5715277997452894,0.9882573049954512,0.9997428895077325,0.6766539015798486,0.4002343804085718,0.6925082142216221,0.6271011805127024,0.9896030658247893,0.9997428895075122,0.9997428895075122,0.9997428895077196,0.9997428895073289,0.6694400851992961,0.6273744991839902,0.640083137438414,0.9997428895079695,0.3631485003332639
assortativity,0.7777856115295617,0.9690547706376413,1.0,0.92511703985558,0.6894994990164621,0.737236093481129,0.7122318566842215,0.9005008597311789,0.9322814645679595,0.6116369016415649,0.938459022409624,0.9754277751415429,0.6595895963323207,0.9898177925158868,0.7563313070216875,0.9564305227336878,0.646157811207587,0.746997432836147,0.7510153730089705,0.8668653355245106,0.8670568543302524,0.4762778411123901,0.48104931660076533,0.8154555433091758,0.830945001500858,0.6457633996715592,0.9641506528302412,0.9662312954668728,0.9564305227336878,0.7590326564596088,0.9534137192466045,0.9662312954695074,0.646157811207587,0.5905786269608297,0.6585882788685751,0.593700094134374,0.9546036771508918,0.9662312954678615,0.9662312954678615,0.966231295466878,0.9662312954665395,0.7645362277343335,0.5939719705399858,0.6573822089490325,0.9662312954659429,0.5716821243254919
avg_edge_ixp_cosine_dist,0.8912501911887064,0.8365914580165835,0.92511703985558,1.0,0.5796643158718344,0.6384848419666002,0.6168298710453571,0.762211836974222,0.807404288595976,0.5807282129616322,0.9891890616218186,0.8344796693144273,0.5712389326316475,0.8892706989028099,0.5728133205386216,0.8283186303115616,0.5596063074073289,0.5298425986028197,0.528843808978799,0.7507505148904536,0.7509163801823444,0.5377206061373473,0.5705942485383969,0.7062269580769773,0.799191402431925,0.5628548886865872,0.8350046649330114,0.8368066097807154,0.8283186303115616,0.9353723543014792,0.8257059214171258,0.8368066097983822,0.5596063074073289,0.6938025298933539,0.5703717396442541,0.5141751931877879,0.8267364869151345,0.8368066097814982,0.8368066097814982,0.836806609780604,0.8368066097786991,0.8614930113928081,0.5144106523019224,0.6611441098636044,0.8368066097821472,0.6812962616011711
avg_path_length,0.8471394711689185,0.7056300042041047,0.6894994990164621,0.5796643158718344,1.0,0.8368153617919886,0.9809830108396193,0.9390465810610419,0.8664612444442329,0.9888785419310354,0.5941749710825965,0.7055076022248717,0.9506235792111856,0.6874891136302752,0.5386077573365675,0.7908432186317015,0.8739761083701747,0.6964448232973062,0.7101758536037849,0.8590361432785195,0.8595020521144944,0.7002717733964027,0.5960928650236853,0.6368575900268236,0.574512643621995,0.8768956725363464,0.7471613063483935,0.6927100109572153,0.7908432186317015,0.5553266428284089,0.8027153379283035,0.6927100109744921,0.8739761083701747,0.7045368265852895,0.9957539229984519,0.9920501394137361,0.8106699183998366,0.6927100109563505,0.6927100109563505,0.6927100109550935,0.6927100109557414,0.8852330088440148,0.9920621431688004,0.9813025481086017,0.6927100109547306,0.661932802707926
betweenness_max,0.7395957187271659,0.7682497144145439,0.737236093481129,0.6384848419666002,0.8368153617919886,1.0,0.9256627013126596,0.8610693588358528,0.8827901393352614,0.8130008883583923,0.6301532577793834,0.763612422227265,0.9589969330919452,0.7151066323514647,0.46014535297250636,0.8458367571988014,0.9898317628322858,0.5838300177750958,0.5891828919822709,0.9736637827136181,0.9735013356480553,0.6956539276275534,0.6617057363205147,0.9518260608777165,0.5374749857277462,0.9884663870556647,0.7903016540419239,0.7630016714723578,0.8458367571988014,0.5670040375168872,0.8557350862095043,0.7630016714435237,0.9898317628322858,0.6997656823192675,0.8476486526673163,0.8368639145214618,0.8207470689200705,0.7630016714740944,0.7630016714740944,0.7630016714701199,0.7630016714689297,0.7647584571184163,0.8370988479346407,0.8133146723122656,0.7630016714696938,0.6757372355542144
betweenness_mean,0.8436456167597136,0.7463014946090757,0.7122318566842215,0.6168298710453571,0.9809830108396193,0.9256627013126596,1.0,0.9389241306475791,0.9012948228386569,0.9722431476377383,0.608780862411461,0.7397817965036889,0.9898702046656004,0.6908529424922525,0.444538977462268,0.8350044338424588,0.947769310014634,0.6232928358391087,0.6367908977782879,0.9292518132882251,0.9295065686003189,0.7062871658828435,0.6187160930448551,0.7782360739889932,0.5181819653471784,0.9487219998776542,0.784775664001799,0.7371235645293477,0.8350044338424588,0.5721480610229556,0.8468228827673121,0.7371235645326292,0.947769310014634,0.7126872486777776,0.9869810042020616,0.9815773963064227,0.840244772556281,0.7371235645304021,0.7371235645304021,0.7371235645299887,0.7371235645310948,0.8793850125959605,0.9816540536901701,0.966487274928891,0.7371235645304323,0.6727855947307495
betweenness_skewness,0.8220366280835895,0.918085278101382,0.9005008597311789,0.762211836974222,0.9390465810610419,0.8610693588358528,0.9389241306475791,1.0,0.9793162234205164,0.8924589359650434,0.7746020251387241,0.9203172601914915,0.8967642940421663,0.892481990634904,0.67442799321465,0.9530225542041068,0.8415861047562722,0.762250567870049,0.7738876917470833,0.9400771418193717,0.940439768908788,0.6024804018783945,0.5207197205214948,0.7937978019848911,0.7003495408074658,0.8418603943890802,0.9356811413903783,0.9108578111612997,0.9530225542041068,0.6073086040433571,0.9573746383810979,0.9108578111645692,0.8415861047562722,0.6384763062166687,0.9259392951484173,0.897927946151774,0.9621576145338443,0.9108578111607469,0.9108578111607469,0.9108578111595262,0.9108578111617924,0.8463409556355531,0.898039125198936,0.8957511917654489,0.9108578111597609,0.5985706420772399
betweenness_std,0.7825083582475476,0.967731459452071,0.9322814645679595,0.807404288595976,0.8664612444442329,0.8827901393352614,0.9012948228386569,0.9793162234205164,1.0,0.8151647408874286,0.7968684757472482,0.9637429780157755,0.8664133645863479,0.9042973674846627,0.5818827746076696,0.9919842508459723,0.8386328102066517,0.6581367539647557,0.670258890341179,0.9675065854336199,0.9677371588514212,0.5103071682941263,0.4446574934883522,0.8724414550656808,0.6348264808148795,0.8361880218300156,0.9794879644481027,0.9648636604272629,0.9919842508459723,0.6049887738692862,0.994190046875804,0.9648636604196058,0.8386328102066517,0.5675825765785262,0.863362460154658,0.8248314573793436,0.992376524298057,0.9648636604267343,0.9648636604267343,0.964863660426635,0.9648636604272257,0.7992710790354264,0.8250179848825987,0.8241507708497312,0.9648636604259976,0.5281463481085249
clustering_avg_local,0.8806581758799208,0.6181834773235904,0.6116369016415649,0.5807282129616322,0.9888785419310354,0.8130008883583923,0.9722431476377383,0.8924589359650434,0.8151647408874286,1.0,0.5737614221010207,0.6102122068738296,0.9455262129186863,0.5913511081418086,0.3806614559154237,0.7240081912059396,0.8648667578500926,0.5867189447719735,0.6020917762718796,0.8179270585971967,0.8184161586717115,0.7128572923548555,0.6113024964377924,0.573479246316541,0.4962150228501858,0.8684460926401755,0.6711593407879343,0.6053560740729856,0.7240081912059396,0.611135366822797,0.7383736374704598,0.6053560740741587,0.8648667578500926,0.7274096380158442,0.9937997866341847,0.9961571067755065,0.747324380466041,0.6053560740729058,0.6053560740729058,0.605356074072722,0.6053560740727745,0.9150424352622761,0.9961448483524665,0.9963752968827294,0.6053560740730557,0.6853595261330768
