,degree_centrality,degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_ixp_memberships,ixp_vector_norm,avg_ixp_cosine_dist
degree_centrality,1.0,0.9999999989507448,0.8533750468095749,0.3867076137083869,0.5036782975760368,0.9629444615144652,0.3546524127894574,0.4642533347385766,0.6437267270692668,0.4608988763027092,0.7283138261277996,0.3075669849684404,0.5556660219923376,0.5028724542974125
degree,0.9999999989507448,1.0,0.8533758249489762,0.3867064667494879,0.503678084246182,0.962945632528714,0.3546498194890009,0.46425336638816533,0.6437241015536308,0.4608984334003213,0.7283130365744467,0.3075653960572241,0.5556632818268845,0.5028708291114016
betweenness_centrality,0.8533750468095749,0.8533758249489762,1.0,0.44446781793309936,0.5533235517691653,0.9281624614608222,0.10560261775258661,0.22248948309159475,0.2270459771114391,0.531646452344927,0.3348361442268462,0.043377747316288025,0.15272474545738401,0.1873630240560021
closeness_centrality,0.3867076137083869,0.3867064667494879,0.44446781793309936,1.0,0.8906731751602733,0.399631844842428,0.19566133222859852,0.45906894259938996,0.29086235047548203,0.2617226046330297,0.4344889823069966,0.12088722797394288,0.20496787110590475,0.18376599841474095
eigenvector_centrality,0.5036782975760368,0.503678084246182,0.5533235517691653,0.8906731751602733,1.0,0.5320582179294052,0.22487530213475174,0.555329318753992,0.2917390336594369,0.21001119027401915,0.36120295528165036,0.09302672943465323,0.1713524536282543,0.23138717743713144
pagerank,0.9629444615144652,0.962945632528714,0.9281624614608222,0.399631844842428,0.5320582179294052,1.0,0.29094653772555346,0.4001064226313538,0.48117087926024615,0.5069244272445168,0.5979061032438145,0.18380605857508453,0.3449354792647759,0.3347483630844917
local_clustering,0.3546524127894574,0.3546498194890009,0.10560261775258661,0.19566133222859852,0.22487530213475174,0.29094653772555346,1.0,0.29129774376752215,0.7709910317480031,0.04978376613717264,0.5538097833312237,0.29120495151007525,0.4838820723330408,0.44533647144576766
avg_neighbor_degree,0.4642533347385766,0.46425336638816533,0.22248948309159475,0.45906894259938996,0.555329318753992,0.4001064226313538,0.29129774376752215,1.0,0.4231563535479762,0.2898413773713274,0.5050120376673154,0.18443474523708647,0.35399638836578495,0.3372151163085462
node_clique_number,0.6437267270692668,0.6437241015536308,0.2270459771114391,0.29086235047548203,0.2917390336594369,0.48117087926024615,0.7709910317480031,0.4231563535479762,1.0,0.20343763446224672,0.8169627550828441,0.4863539609636822,0.8648073579256036,0.7140076501363682
eccentricity,0.4608988763027092,0.4608984334003213,0.531646452344927,0.2617226046330297,0.21001119027401915,0.5069244272445168,0.04978376613717264,0.2898413773713274,0.20343763446224672,1.0,0.19295489249982992,0.030438233119538645,0.05647594814596626,0.11822512580550305
core_number,0.7283138261277996,0.7283130365744467,0.3348361442268462,0.4344889823069966,0.36120295528165036,0.5979061032438145,0.5538097833312237,0.5050120376673154,0.8169627550828441,0.19295489249982992,1.0,0.4366592214699673,0.765591007754886,0.6434922015660054
n_ixp_memberships,0.3075669849684404,0.3075653960572241,0.043377747316288025,0.12088722797394288,0.09302672943465323,0.18380605857508453,0.29120495151007525,0.18443474523708647,0.4863539609636822,0.030438233119538645,0.4366592214699673,1.0,0.5390534538070332,0.4356777524188331
ixp_vector_norm,0.5556660219923376,0.5556632818268845,0.15272474545738401,0.20496787110590475,0.1713524536282543,0.3449354792647759,0.4838820723330408,0.35399638836578495,0.8648073579256036,0.05647594814596626,0.765591007754886,0.5390534538070332,1.0,0.8181767374627599
avg_ixp_cosine_dist,0.5028724542974125,0.5028708291114016,0.1873630240560021,0.18376599841474095,0.23138717743713144,0.3347483630844917,0.44533647144576766,0.3372151163085462,0.7140076501363682,0.11822512580550305,0.6434922015660054,0.4356777524188331,0.8181767374627599,1.0
