,adj_eig_ratio_1_2,algebraic_connectivity,assortativity,avg_edge_ixp_cosine_dist,avg_path_length,betweenness_max,betweenness_mean,betweenness_skewness,betweenness_std,clustering_avg_local,clustering_global,core_mean,core_std,density,ego_avg_violation_depth,ego_edges,ego_nodes,ego_transit_vf_rate,ego_transit_violations,ego_valley_free_paths_checked,ego_valley_free_paths_total,ego_valley_free_violation_rate,ego_valley_free_violations,ego_vf_paths_frac,kirchhoff_index,lcc_fraction,log_spanning_trees,median_edge_ixp_cosine_dist,n_edges,n_edges_full,n_edges_missing_ixp_data,n_edges_with_ixp_data,n_nodes,n_nodes_full,natural_connectivity,percolation_limit,rich_club_p25,rich_club_p50,rich_club_p75,rich_club_p90,rich_club_p95,spectral_gap,spectral_radius,std_edge_ixp_cosine_dist,symmetry_ratio,vf_rate_delta
adj_eig_ratio_1_2,1.0,-0.040233869308546534,-0.30039607398550233,0.6437608586725917,-0.6758505626992164,-0.3479878300079992,-0.6144626647388118,0.38528814920050414,-0.2522768093416248,0.8460964131780386,-0.613887546904361,-0.05045911969312959,-0.5914492198643687,-0.26351131803148015,-0.14102021740611564,0.10973224217286193,0.4714582042398876,-0.14238679810975113,-0.14378752836976222,-0.281926430691098,-0.2824966244177919,0.7591429093847617,0.7059303974095043,-0.028890018761098462,0.47237966414365,0.4863154381417718,0.033284664802474995,0.056503889708757214,0.10973224217286193,-0.9092326794035418,0.13114766438169248,-0.05650388970875745,0.4714582042398876,-0.876336066485403,0.7083426840760316,-0.7522835474567507,-0.14650456924606353,0.05650388970875416,0.05650388970875416,-0.05650388970875348,0.056503889708750574,0.9965683447014951,0.7520321801286032,-0.8977157277931203,-0.056503889708749346,0.8271080917311084
algebraic_connectivity,-0.040233869308546534,1.0,0.952189072451158,-0.789681911485043,-0.7022547542640603,-0.7634129438950499,-0.7406500452178478,0.898388718798303,-0.950617172753448,0.4985072097054133,0.8025074746401307,0.9971970475661763,-0.7100443358329185,0.9236376341569756,0.6345484126031637,0.9832360080584516,0.7018988257463048,-0.6493364496840301,-0.6697104048840196,-0.8761656083746111,-0.876389499307217,0.12221562102470616,-0.05215868968109737,-0.7996372358082856,-0.6587031056052021,0.6885522325285292,0.9969889890707174,-0.9995015620410309,0.9832360080584516,0.4166111894984767,0.9786706402027424,0.9995015620410359,0.7018988257463048,0.04960786092697326,0.6763459389723566,-0.6267909292196466,-0.9822750202822829,-0.9995015620410315,-0.9995015620410315,0.9995015620410308,-0.9995015620410304,0.04245049966294292,0.6270659049060598,-0.4039650883902028,0.9995015620410301,-0.05950312950291726
assortativity,-0.30039607398550233,0.952189072451158,1.0,-0.9070094535554954,-0.49971852951944795,-0.5455744576673283,-0.50652089761903,0.7639913340168998,-0.8118964177158342,0.248435066734121,0.9373431570530552,0.9638410884333459,-0.4611973626988779,0.987322346752519,0.7542292250452912,0.8806652697771108,0.4577197923558962,-0.6902125785941489,-0.7060739822831346,-0.6941961114304308,-0.6944217464954298,0.014905983114271925,-0.12354679023085988,-0.6518058231296885,-0.8391475284511972,0.4406341029869438,0.9261634568425782,-0.9517562387123377,0.8806652697771108,0.6044675333365204,0.8692019515372101,0.9517562387123442,0.4577197923558962,0.35217902576517535,0.4469610256124725,-0.3863698159314471,-0.8830666808001644,-0.9517562387123382,-0.9517562387123382,0.9517562387123368,-0.9517562387123356,-0.22244515809852453,0.38663811005029447,-0.14643191551225068,0.9517562387123353,-0.18521303891638352
avg_edge_ixp_cosine_dist,0.6437608586725917,-0.789681911485043,-0.9070094535554954,1.0,0.1193505680717959,0.3893164724428879,0.19667634658180685,-0.44675416060516426,0.5764605233948953,0.13753157096763846,-0.9855743882122665,-0.7911701387488205,0.1924880887157479,-0.8571333123740388,-0.5447067341356028,-0.6886476183190107,-0.2660086675902932,0.38310137010383444,0.39850026547658857,0.5103679752368006,0.5101523901550103,0.3943449628264484,0.49779963954245554,0.6152736590942625,0.7719360646346092,-0.24683137337590597,-0.7431963785076419,0.80023524879943,-0.6886476183190107,-0.8820767097761086,-0.6723780286059398,-0.8002352487994335,-0.2660086675902932,-0.5580048576054175,-0.08411542924577213,0.019813495757230737,0.6624293152621913,0.8002352487994286,0.8002352487994286,-0.8002352487994275,0.8002352487994254,0.5782187756726205,-0.020190795580195937,-0.24162941026135626,-0.8002352487994246,0.572489476317789
avg_path_length,-0.6758505626992164,-0.7022547542640603,-0.49971852951944795,0.1193505680717959,1.0,0.7501841514031817,0.9553425253483779,-0.9405259241900632,0.861464104035033,-0.961666048451223,-0.1666751333473435,-0.7005052289960382,0.9021640699717054,-0.5203273829772908,-0.4416119968855509,-0.7851778868512828,-0.7939223757755923,0.6499954238329024,0.6639568716358413,0.8022202403733256,0.802892376128111,-0.6887992123036083,-0.5314859169043353,0.5440737913866621,0.209516924416833,-0.7942491394728431,-0.7493860961735416,0.6876764833212414,-0.7851778868512828,0.35399548778700546,-0.7959473555375294,-0.6876764833212461,-0.7939223757755923,0.5329923674545926,-0.9911543604438199,0.9843883071272698,0.8187939796887598,0.6876764833212444,0.6876764833212444,-0.6876764833212442,0.687676483321246,-0.7333194118107735,-0.9843753056768484,0.9293645034707642,-0.6876764833212469,-0.5967379506326189
betweenness_max,-0.3479878300079992,-0.7634129438950499,-0.5455744576673283,0.3893164724428879,0.7501841514031817,1.0,0.9086111418075085,-0.7816346394332999,0.8926952187908963,-0.7053185859644517,-0.3234896876927949,-0.7185951265091997,0.9513306767625473,-0.4575641805151452,-0.04092601122356399,-0.8619062009610878,-0.9906507539753626,0.17177594955185513,0.19804068272767933,0.9788999614145999,0.978741327401076,-0.052197617867731194,0.1430813520314948,0.9460509389240017,0.016892125424989676,-0.9879571968006093,-0.8019472383948474,0.77099264994987,-0.8619062009610878,-0.06802932629586228,-0.8716255169529494,-0.7709926499498678,-0.9906507539753626,0.5456086587595449,-0.8085526939251623,0.794626362311361,0.831834195966099,0.7709926499498703,0.7709926499498703,-0.7709926499498706,0.7709926499498713,-0.4137675687950511,-0.7949341777454744,0.6493748431785733,-0.7709926499498716,0.026237699806321818
betweenness_mean,-0.6144626647388118,-0.7406500452178478,-0.50652089761903,0.19667634658180685,0.9553425253483779,0.9086111418075085,1.0,-0.9142050703890745,0.9120614934302121,-0.9267829746743673,-0.19430830442957311,-0.7179035560868893,0.9888787315212763,-0.4796215730301144,-0.2510801079419698,-0.8443172214847451,-0.9381375066597643,0.4495756862982446,0.4696632188619408,0.9221353115608719,0.9224765020261634,-0.4640387035667345,-0.28182213784929394,0.7445102909076426,0.08569446099326775,-0.9382386557278206,-0.7904766191507713,0.734876054087595,-0.8443172214847451,0.2353825737424312,-0.8564974617131597,-0.7348760540875966,-0.9381375066597643,0.6184381332772921,-0.9803665760914502,0.9736196614612576,0.851679619817764,0.734876054087597,0.734876054087597,-0.734876054087597,0.7348760540875986,-0.6766093922254717,-0.9737365381357049,0.8869274380807433,-0.7348760540875992,-0.3820564661537887
betweenness_skewness,0.38528814920050414,0.898388718798303,0.7639913340168998,-0.44675416060516426,-0.9405259241900632,-0.7816346394332999,-0.9142050703890745,1.0,-0.9633610911304612,0.8143601051821867,0.49151311099830003,0.9005832331314964,-0.858844884127329,0.7721071401704952,0.6149251169480262,0.93354519393916,0.7793853820538768,-0.745321236806489,-0.7622510749768016,-0.8765942109136834,-0.8771684746902102,0.5098199918707558,0.3369476880764437,-0.6709905418496417,-0.4777608382003879,0.7729565207970224,0.9236233089046014,-0.8877532848430605,0.93354519393916,-0.023177306224192458,0.9371996693250051,0.8877532848430663,0.7793853820538768,-0.26553056708618866,0.9150173733509508,-0.8863323014238779,-0.9583217587798454,-0.8877532848430629,-0.8877532848430629,0.887753284843062,-0.887753284843063,0.4588948844571071,0.8864336266964441,-0.7500547197949645,0.8877532848430634,0.3634373289859572
betweenness_std,-0.2522768093416248,-0.950617172753448,-0.8118964177158342,0.5764605233948953,0.861464104035033,0.8926952187908963,0.9120614934302121,-0.9633610911304612,1.0,-0.7251479781358198,-0.579407164801454,-0.9368996253507716,0.8915380745414089,-0.7785962964400815,-0.4866422810243301,-0.9894703637993362,-0.8677083436034396,0.5857995048466135,0.6078619279445316,0.9645738721983406,0.9648412425255476,-0.26982797846280926,-0.07837830100514026,0.8427699124608242,0.43065972523991813,-0.859616280332461,-0.9718098777111448,0.9483379158464341,-0.9894703637993362,-0.15470578467628593,-0.9923779696078241,-0.9483379158464378,-0.8677083436034396,0.25954226695628424,-0.8597313492454915,0.8264890706928586,0.9902641674001763,0.9483379158464356,0.9483379158464356,-0.948337915846435,0.9483379158464355,-0.3314073153295741,-0.8267197804660269,0.6487929949162872,-0.9483379158464356,-0.12247204021929749
clustering_avg_local,0.8460964131780386,0.4985072097054133,0.248435066734121,0.13753157096763846,-0.961666048451223,-0.7053185859644517,-0.9267829746743673,0.8143601051821867,-0.7251479781358198,1.0,-0.10356451257263018,0.4886787379061016,-0.8894476844101925,0.26631162521053225,0.22167752668578997,0.6189110333375246,0.7797387831427829,-0.4752734113035928,-0.4872194418618834,-0.7093132482123792,-0.7099349699189831,0.728382328790584,0.5897493660849263,-0.4472659147201974,0.05406079283194348,0.7854804258841444,0.560502433646265,-0.48393000785966966,0.6189110333375246,-0.5678140829759176,0.6349834653789656,0.4839300078596722,0.7797387831427829,-0.7303171282957879,0.9751161392150213,-0.9866932263148545,-0.6509008373387832,-0.48393000785967283,-0.48393000785967283,0.48393000785967294,-0.4839300078596753,0.8871867056033664,0.9866192035520234,-0.9943792360028376,0.4839300078596762,0.6898977823139166
