,degree_centrality,degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_ixp_memberships,ixp_vector_norm,avg_ixp_cosine_dist
degree_centrality,1.0,0.999999999896987,0.9647442352382336,0.409274521108067,0.8435482500576751,0.9886400201250444,0.04506263267613226,-0.26725837722993645,0.2753039733731219,-0.4221756712749236,0.3165322148939015,0.07540471710255385,0.22666031816676072,-0.14178438811749774
degree,0.999999999896987,1.0,0.9647440756000694,0.4092741691475709,0.8435477475980855,0.9886403823461258,0.04506139604706198,-0.2672581276102771,0.27530212759945044,-0.4221751886828916,0.31653078404254353,0.07540388789877883,0.22665814536058432,-0.14178453489965903
betweenness_centrality,0.9647442352382336,0.9647440756000694,1.0,0.4338688724709643,0.8554389779657646,0.9758735423348517,-0.05359204801363134,-0.17123599307606865,0.10284938737666123,-0.46361217577620867,0.1459828319900325,-0.011118066833719568,0.07738427521143766,-0.0480446158098342
closeness_centrality,0.409274521108067,0.4092741691475709,0.4338688724709643,1.0,0.727991273918671,0.3990381974854857,0.0873971223516677,0.2878646594192898,0.11978342327352982,-0.3438286617063354,0.266371276842247,-0.016377032935571252,0.034807667894084154,-0.06873417236898031
eigenvector_centrality,0.8435482500576751,0.8435477475980855,0.8554389779657646,0.727991273918671,1.0,0.8459524001816323,0.05918192990307564,0.1388509921568743,0.14599879822359513,-0.28174891174947714,0.20774534923402008,0.01805690153490065,0.08508948634185524,-0.1492966679892016
pagerank,0.9886400201250444,0.9886403823461258,0.9758735423348517,0.3990381974854857,0.8459524001816323,1.0,-0.010666350275589294,-0.21928795266381568,0.14832355193712118,-0.4198539382112105,0.1954454506379516,0.018793699581350444,0.09266733078117949,-0.0626284708728286
local_clustering,0.04506263267613226,0.04506139604706198,-0.05359204801363134,0.0873971223516677,0.05918192990307564,-0.010666350275589294,1.0,-0.24632236158888027,0.6442884133764637,-0.0017539127998214131,0.5213715540648333,0.1472755052277679,0.41181625618986945,-0.3770366340176077
avg_neighbor_degree,-0.26725837722993645,-0.2672581276102771,-0.17123599307606865,0.2878646594192898,0.1388509921568743,-0.21928795266381568,-0.24632236158888027,1.0,-0.3940804766775808,0.2834835448639985,-0.4742103886666729,-0.10901299530920318,-0.3118856529422233,0.07961866243474826
node_clique_number,0.2753039733731219,0.27530212759945044,0.10284938737666123,0.11978342327352982,0.14599879822359513,0.14832355193712118,0.6442884133764637,-0.3940804766775808,1.0,-0.09085638588534077,0.9086427679746216,0.34351709568243954,0.9146106915783041,-0.6500872126413741
eccentricity,-0.4221756712749236,-0.4221751886828916,-0.46361217577620867,-0.3438286617063354,-0.28174891174947714,-0.4198539382112105,-0.0017539127998214131,0.2834835448639985,-0.09085638588534077,1.0,-0.1236708321787934,0.020617260167868936,-0.028159603075057563,-0.048268362503048466
core_number,0.3165322148939015,0.31653078404254353,0.1459828319900325,0.266371276842247,0.20774534923402008,0.1954454506379516,0.5213715540648333,-0.4742103886666729,0.9086427679746216,-0.1236708321787934,1.0,0.32064123088885005,0.8419282848697648,-0.5376956871668092
n_ixp_memberships,0.07540471710255385,0.07540388789877883,-0.011118066833719568,-0.016377032935571252,0.01805690153490065,0.018793699581350444,0.1472755052277679,-0.10901299530920318,0.34351709568243954,0.020617260167868936,0.32064123088885005,1.0,0.3208349987638589,-0.21464736410979332
ixp_vector_norm,0.22666031816676072,0.22665814536058432,0.07738427521143766,0.034807667894084154,0.08508948634185524,0.09266733078117949,0.41181625618986945,-0.3118856529422233,0.9146106915783041,-0.028159603075057563,0.8419282848697648,0.3208349987638589,1.0,-0.6445536975235583
avg_ixp_cosine_dist,-0.14178438811749774,-0.14178453489965903,-0.0480446158098342,-0.06873417236898031,-0.1492966679892016,-0.0626284708728286,-0.3770366340176077,0.07961866243474826,-0.6500872126413741,-0.048268362503048466,-0.5376956871668092,-0.21464736410979332,-0.6445536975235583,1.0
