Feature,Max_Pearson,Max_Spearman,Max_dCor,Max_NMI,VIF,Cluster_Size,mRMR_Excluded_Target,mRMR_Rank,mRMR_Selected,N_Flags
degree_centrality,0.999999999896987,1.0,0.9999999989507448,1.0,5476566417.017896,5,True,0.0,True,6
degree,0.999999999896987,1.0,0.9999999989507448,1.0,5476469852.564187,5,False,1.0,True,6
pagerank,0.9886403823461258,0.9355299966486583,0.962945632528714,0.5827018297928619,318.2827230022,5,False,2.0,True,5
node_clique_number,0.9146106915783041,0.9778075485219149,0.8648073579256036,0.6033137612755486,26.632015286366137,2,False,,False,5
core_number,0.9086427679746216,0.9859489216484242,0.8169627550828441,0.7635186803592545,13.838268059871295,5,False,6.0,True,4
betweenness_centrality,0.9758735423348517,0.840178161813429,0.9281624614608222,0.3994499561686555,36.1481535197922,5,False,3.0,True,4
ixp_vector_norm,0.9146106915783041,0.5826727695137482,0.8648073579256036,0.4837931868566205,15.63691320524554,1,False,,False,3
eigenvector_centrality,0.8554389779657646,0.940409157655206,0.8906731751602733,0.5911434153578257,24.661723095420108,2,False,4.0,True,3
local_clustering,0.6442884133764637,0.9778075485219149,0.7709910317480031,0.6033137612755486,3.457918793434099,2,False,,False,3
closeness_centrality,0.727991273918671,0.940409157655206,0.8906731751602733,0.5911434153578257,7.911653194536815,2,False,7.0,True,2
n_ixp_memberships,0.34351709568243954,0.5826727695137482,0.5390534538070332,0.3099688170252854,1.2378411613035805,1,False,,False,1
avg_neighbor_degree,0.4742103886666729,0.5795758222476655,0.555329318753992,0.5681756089985347,4.519883933443198,1,False,,False,1
avg_ixp_cosine_dist,0.6500872126413741,0.4723704631299023,0.8181767374627599,0.4837931868566205,2.2418494114433827,1,False,,False,1
eccentricity,0.46361217577620867,0.3147468814951835,0.531646452344927,0.08352428967167674,2.357561138864147,1,False,5.0,True,0
