,adj_eig_ratio_1_2,algebraic_connectivity,assortativity,avg_edge_ixp_cosine_dist,avg_path_length,betweenness_max,betweenness_mean,betweenness_skewness,betweenness_std,clustering_avg_local,clustering_global,core_mean,core_std,density,ego_avg_violation_depth,ego_edges,ego_nodes,ego_transit_vf_rate,ego_transit_violations,ego_valley_free_paths_checked,ego_valley_free_paths_total,ego_valley_free_violation_rate,ego_valley_free_violations,ego_vf_paths_frac,kirchhoff_index,lcc_fraction,log_spanning_trees,median_edge_ixp_cosine_dist,n_edges,n_edges_full,n_edges_missing_ixp_data,n_edges_with_ixp_data,n_nodes,n_nodes_full,natural_connectivity,percolation_limit,rich_club_p25,rich_club_p50,rich_club_p75,rich_club_p90,rich_club_p95,spectral_gap,spectral_radius,std_edge_ixp_cosine_dist,symmetry_ratio,vf_rate_delta
adj_eig_ratio_1_2,1.0,0.2,-0.4,0.31622776601683794,-0.2,-0.4,-0.4,0.2,-0.4,0.8,-0.4,0.2,-0.4,-0.4,-0.6324555320336759,0.4,0.6324555320336759,-0.4,-0.4,-0.4,-0.4,0.8,0.4,-0.4,0.8,0.8,0.4,0.0,0.4,-0.8,0.4,0.0,0.6324555320336759,-1.0,0.4,-0.4,-0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.4,-0.9486832980505138,0.0,0.8
algebraic_connectivity,0.2,1.0,0.8,-0.7378647873726218,-1.0,-0.8,-0.8,1.0,-0.8,0.4,0.8,1.0,-0.8,0.8,0.6324555320336759,0.8,0.6324555320336759,-0.8,-0.8,-0.8,-0.8,0.4,0.0,-0.8,-0.4,0.4,0.8,-0.8944271909999159,0.8,-0.4,0.8,0.8944271909999159,0.6324555320336759,-0.2,0.8,-0.8,-0.9486832980505138,-0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.2,0.8,-0.31622776601683794,0.8944271909999159,0.4
assortativity,-0.4,0.8,1.0,-0.9486832980505138,-0.8,-0.6,-0.6,0.8,-0.6,-0.2,1.0,0.8,-0.6,1.0,0.9486832980505138,0.6,0.31622776601683794,-0.4,-0.4,-0.6,-0.6,-0.2,-0.4,-0.6,-0.8,0.0,0.6,-0.8944271909999159,0.6,0.2,0.6,0.8944271909999159,0.31622776601683794,0.4,0.6,-0.6,-0.7378647873726218,-0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.8944271909999159,-0.4,0.6,0.31622776601683794,0.8944271909999159,-0.2
avg_edge_ixp_cosine_dist,0.31622776601683794,-0.7378647873726218,-0.9486832980505138,1.0,0.7378647873726218,0.7378647873726218,0.7378647873726218,-0.7378647873726218,0.7378647873726218,0.31622776601683794,-0.9486832980505138,-0.7378647873726218,0.7378647873726218,-0.9486832980505138,-0.8333333333333334,-0.7378647873726218,-0.5,0.21081851067789195,0.21081851067789195,0.7378647873726218,0.7378647873726218,0.31622776601683794,0.6324555320336759,0.7378647873726218,0.6324555320336759,-0.21081851067789195,-0.7378647873726218,0.9428090415820635,-0.7378647873726218,-0.31622776601683794,-0.7378647873726218,-0.9428090415820635,-0.5,-0.31622776601683794,-0.7378647873726218,0.7378647873726218,0.7777777777777778,0.9428090415820635,0.9428090415820635,-0.9428090415820635,0.9428090415820635,0.31622776601683794,-0.7378647873726218,-0.3333333333333333,-0.9428090415820635,0.31622776601683794
avg_path_length,-0.2,-1.0,-0.8,0.7378647873726218,1.0,0.8,0.8,-1.0,0.8,-0.4,-0.8,-1.0,0.8,-0.8,-0.6324555320336759,-0.8,-0.6324555320336759,0.8,0.8,0.8,0.8,-0.4,0.0,0.8,0.4,-0.4,-0.8,0.8944271909999159,-0.8,0.4,-0.8,-0.8944271909999159,-0.6324555320336759,0.2,-0.8,0.8,0.9486832980505138,0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.2,-0.8,0.31622776601683794,-0.8944271909999159,-0.4
betweenness_max,-0.4,-0.8,-0.6,0.7378647873726218,0.8,1.0,1.0,-0.8,1.0,-0.2,-0.6,-0.8,1.0,-0.6,-0.31622776601683794,-1.0,-0.9486832980505138,0.4,0.4,1.0,1.0,-0.2,0.4,1.0,0.0,-0.8,-1.0,0.8944271909999159,-1.0,0.2,-1.0,-0.8944271909999159,-0.9486832980505138,0.4,-1.0,1.0,0.9486832980505138,0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.4,-1.0,0.31622776601683794,-0.8944271909999159,-0.2
betweenness_mean,-0.4,-0.8,-0.6,0.7378647873726218,0.8,1.0,1.0,-0.8,1.0,-0.2,-0.6,-0.8,1.0,-0.6,-0.31622776601683794,-1.0,-0.9486832980505138,0.4,0.4,1.0,1.0,-0.2,0.4,1.0,0.0,-0.8,-1.0,0.8944271909999159,-1.0,0.2,-1.0,-0.8944271909999159,-0.9486832980505138,0.4,-1.0,1.0,0.9486832980505138,0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.4,-1.0,0.31622776601683794,-0.8944271909999159,-0.2
betweenness_skewness,0.2,1.0,0.8,-0.7378647873726218,-1.0,-0.8,-0.8,1.0,-0.8,0.4,0.8,1.0,-0.8,0.8,0.6324555320336759,0.8,0.6324555320336759,-0.8,-0.8,-0.8,-0.8,0.4,0.0,-0.8,-0.4,0.4,0.8,-0.8944271909999159,0.8,-0.4,0.8,0.8944271909999159,0.6324555320336759,-0.2,0.8,-0.8,-0.9486832980505138,-0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.2,0.8,-0.31622776601683794,0.8944271909999159,0.4
betweenness_std,-0.4,-0.8,-0.6,0.7378647873726218,0.8,1.0,1.0,-0.8,1.0,-0.2,-0.6,-0.8,1.0,-0.6,-0.31622776601683794,-1.0,-0.9486832980505138,0.4,0.4,1.0,1.0,-0.2,0.4,1.0,0.0,-0.8,-1.0,0.8944271909999159,-1.0,0.2,-1.0,-0.8944271909999159,-0.9486832980505138,0.4,-1.0,1.0,0.9486832980505138,0.8944271909999159,0.8944271909999159,-0.8944271909999159,0.8944271909999159,-0.4,-1.0,0.31622776601683794,-0.8944271909999159,-0.2
clustering_avg_local,0.8,0.4,-0.2,0.31622776601683794,-0.4,-0.2,-0.2,0.4,-0.2,1.0,-0.2,0.4,-0.2,-0.2,-0.31622776601683794,0.2,0.31622776601683794,-0.8,-0.8,-0.2,-0.2,1.0,0.8,-0.2,0.4,0.4,0.2,0.0,0.2,-1.0,0.2,0.0,0.31622776601683794,-0.8,0.2,-0.2,-0.31622776601683794,0.0,0.0,0.0,0.0,0.8,0.2,-0.9486832980505138,0.0,1.0
