,degree_centrality,degree,betweenness_centrality,closeness_centrality,eigenvector_centrality,pagerank,local_clustering,avg_neighbor_degree,node_clique_number,eccentricity,core_number,n_ixp_memberships,ixp_vector_norm,avg_ixp_cosine_dist
degree_centrality,1.0,1.0,0.840178161813429,0.48224684086005276,0.4400034042936549,0.9355299966486583,0.655607892035713,-0.5633232015120918,0.709869540008026,-0.2746122276915366,0.9859489216484242,0.4111615002726879,0.4797912673886358,-0.19938042797112007
degree,1.0,1.0,0.840178161813429,0.48224684086005276,0.4400034042936549,0.9355299966486583,0.655607892035713,-0.5633232015120918,0.709869540008026,-0.2746122276915366,0.9859489216484242,0.4111615002726879,0.4797912673886358,-0.19938042797112007
betweenness_centrality,0.840178161813429,0.840178161813429,1.0,0.5661976393825702,0.4789158888174022,0.8101507827641213,0.23939517296118681,-0.3690815021039391,0.3158857422831547,-0.25886084361636774,0.812501297481514,0.14340270002383582,0.2792429536423769,0.01721065191033114
closeness_centrality,0.48224684086005276,0.48224684086005276,0.5661976393825702,1.0,0.940409157655206,0.3804529132177862,0.2947918286882268,0.29879638163921163,0.3004034311845445,-0.21923742046483516,0.4673597010708233,-0.0190514709183697,0.029566464694235014,-0.03447976180517103
eigenvector_centrality,0.4400034042936549,0.4400034042936549,0.4789158888174022,0.940409157655206,1.0,0.34675669682803034,0.32354685957483986,0.3817751483446446,0.3278799406386688,-0.06000618205091345,0.43079679758706907,0.051708431301759075,0.009816010270687191,-0.17793805511740496
pagerank,0.9355299966486583,0.9355299966486583,0.8101507827641213,0.3804529132177862,0.34675669682803034,1.0,0.6050178078251083,-0.5795758222476655,0.6555711897676004,-0.2332277863253969,0.9182380066880627,0.358267904485675,0.3835083807165693,-0.2174095415044385
local_clustering,0.655607892035713,0.655607892035713,0.23939517296118681,0.2947918286882268,0.32354685957483986,0.6050178078251083,1.0,-0.40333441320712543,0.9778075485219149,-0.18771153887004977,0.6481067097546349,0.428475337397751,0.3977889550346396,-0.33254275991151266
avg_neighbor_degree,-0.5633232015120918,-0.5633232015120918,-0.3690815021039391,0.29879638163921163,0.3817751483446446,-0.5795758222476655,-0.40333441320712543,1.0,-0.460844808481603,0.3147468814951835,-0.5409520708617451,-0.33479178754598365,-0.47807272030769365,0.08583125556456545
node_clique_number,0.709869540008026,0.709869540008026,0.3158857422831547,0.3004034311845445,0.3278799406386688,0.6555711897676004,0.9778075485219149,-0.460844808481603,1.0,-0.23195535439724688,0.6938335739162633,0.5079693149761658,0.4974232309481824,-0.3771428947372377
eccentricity,-0.2746122276915366,-0.2746122276915366,-0.25886084361636774,-0.21923742046483516,-0.06000618205091345,-0.2332277863253969,-0.18771153887004977,0.3147468814951835,-0.23195535439724688,1.0,-0.20443298213117014,-0.027807198931803227,-0.11034624029412372,-0.0348498678788881
core_number,0.9859489216484242,0.9859489216484242,0.812501297481514,0.4673597010708233,0.43079679758706907,0.9182380066880627,0.6481067097546349,-0.5409520708617451,0.6938335739162633,-0.20443298213117014,1.0,0.43465516532901693,0.48404692568606533,-0.2166573607240117
n_ixp_memberships,0.4111615002726879,0.4111615002726879,0.14340270002383582,-0.0190514709183697,0.051708431301759075,0.358267904485675,0.428475337397751,-0.33479178754598365,0.5079693149761658,-0.027807198931803227,0.43465516532901693,1.0,0.5826727695137482,-0.4723704631299023
ixp_vector_norm,0.4797912673886358,0.4797912673886358,0.2792429536423769,0.029566464694235014,0.009816010270687191,0.3835083807165693,0.3977889550346396,-0.47807272030769365,0.4974232309481824,-0.11034624029412372,0.48404692568606533,0.5826727695137482,1.0,-0.07040177515829478
avg_ixp_cosine_dist,-0.19938042797112007,-0.19938042797112007,0.01721065191033114,-0.03447976180517103,-0.17793805511740496,-0.2174095415044385,-0.33254275991151266,0.08583125556456545,-0.3771428947372377,-0.0348498678788881,-0.2166573607240117,-0.4723704631299023,-0.07040177515829478,1.0
